# NODE START END GENE-NAME [options]
n8 3 4 CARS2 driver=0 
n8 4 5 CCDC175 driver=0 
n8 5 6 CCSER1 driver=0 
n8 6 7 CDH3 driver=0 
n8 7 8 CTDSPL2 driver=0 
n8 8 9 FAM135A driver=0 
n8 9 10 IL12A-AS1 driver=0 
n8 10 11 LPP driver=0 
n8 11 12 MIR31HG driver=0 
n8 12 13 PPP6R3 driver=0 
n8 13 14 PRKDC driver=0 
n8 14 15 PTPRK,RP11-103C16.2 driver=0 
n8 15 16 RP11-69I8.3 driver=0 
n8 16 17 SGK223 driver=0 
n8 17 18 SGSM1 driver=0 
n8 18 19 SH3BP1,Z83844.1 driver=0 
n8 19 20 SYNPR driver=0 
n8 20 21 ZNF438 driver=0 
n8 21 22 unknown driver=0 
n8 22 23 unknown driver=0 
n8 23 24 unknown driver=0 
n8 24 25 unknown driver=0 
n8 25 26 unknown driver=0 
n8 26 27 unknown driver=0 
n8 27 28 unknown driver=0 
n8 28 29 unknown driver=0 
n8 29 30 unknown driver=0 
n8 30 31 unknown driver=0 
n8 31 32 unknown driver=0 
n8 32 33 unknown driver=0 
n8 33 34 unknown driver=0 
n8 34 35 unknown driver=0 
n8 35 36 unknown driver=0 
n8 36 37 unknown driver=0 
n8 37 38 unknown driver=0 
n8 38 39 unknown driver=0 
n8 39 40 unknown driver=0 
n9 0 1 ABCC1 driver=0 
n9 1 2 AGO4 driver=0 
n9 2 3 ALDH1B1 driver=0 
n9 3 4 ARHGAP40 driver=0 
n9 4 5 ATG7 driver=0 
n9 5 6 ATRNL1 driver=0 
n9 6 7 C14orf37 driver=0 
n9 7 8 CHST11 driver=0 
n9 8 9 CLNS1A driver=0 
n9 9 10 DENND1A driver=0 
n9 10 11 FCHSD2 driver=0 
n9 11 12 FRMD4B driver=0 
n9 12 13 FTO driver=0 
n9 13 14 FTO driver=0 
n9 14 15 GNAL driver=0 
n9 15 16 GRAMD4 driver=0 
n9 16 17 KCNN3 driver=0 
n9 17 18 KDM4C driver=0 
n9 18 19 LINC00877 driver=0 
n9 19 20 MRRF driver=0 
n9 20 21 RP11-429O1.1 driver=0 
n9 21 22 THSD7B driver=0 
n9 22 23 TMEM132D driver=0 
n9 23 24 ZNF462 driver=0 
n9 24 25 unknown driver=0 
n9 25 26 unknown driver=0 
n9 26 27 unknown driver=0 
n9 27 28 unknown driver=0 
n9 28 29 unknown driver=0 
n9 29 30 unknown driver=0 
n9 30 31 unknown driver=0 
n9 31 32 unknown driver=0 
n9 32 33 unknown driver=0 
n9 33 34 unknown driver=0 
n9 34 35 unknown driver=0 
n9 35 36 unknown driver=0 
n9 36 37 unknown driver=0 
n9 37 38 unknown driver=0 
n9 38 39 unknown driver=0 
n9 39 40 unknown driver=0 
n9 40 41 unknown driver=0 
n10 0 1 ASAP1 driver=0 
n10 1 2 BMP5 driver=0 
n10 2 3 BTBD9 driver=0 
n10 3 4 CMSS1,FILIP1L driver=0 
n10 4 5 CSPG4P11 driver=0 
n10 5 6 GRM3 driver=0 
n10 6 7 HK1 driver=0 
n10 7 8 INPP5A driver=0 
n10 8 9 IRF5 driver=0 
n10 9 10 LINC00478 driver=0 
n10 10 11 LPHN3 driver=0 
n10 11 12 OPRL1 driver=0 
n10 12 13 PGM5P2 driver=0 
n10 13 14 PHF2 driver=0 
n10 14 15 PTK2 driver=0 
n10 15 16 PTPRM driver=0 
n10 16 17 RABGAP1 driver=0 
n10 17 18 RP11-382A20.4 driver=0 
n10 18 19 RUNX1 driver=0 
n10 19 20 SRPK2 driver=0 
n10 20 21 TRPC6 driver=0 
n10 21 22 TXK driver=0 
n10 22 23 VRTN driver=0 
n10 23 24 unknown driver=0 
n10 24 25 unknown driver=0 
n10 25 26 unknown driver=0 
n10 26 27 unknown driver=0 
n10 27 28 unknown driver=0 
n10 28 29 unknown driver=0 
n10 29 30 unknown driver=0 
n10 30 31 unknown driver=0 
n10 31 32 unknown driver=0 
n10 32 33 unknown driver=0 
n10 33 34 unknown driver=0 
n10 34 35 unknown driver=0 
n10 35 36 unknown driver=0 
n10 36 37 unknown driver=0 
n10 37 38 unknown driver=0 
n11 0 1 AC072062.1 driver=0 
n11 1 2 ANTXR2 driver=0 
n11 2 3 CTC-490E21.12 driver=0 
n11 3 4 GSAP driver=0 
n11 4 5 MAN1A2 driver=0 
n11 5 6 MARK1 driver=0 
n11 6 7 PLEKHM3 driver=0 
n11 7 8 RP5-1065J22.8 driver=0 
n11 8 9 RP5-945F2.3 driver=0 
n11 9 10 SASH1 driver=0 
n11 10 11 SCAPER driver=0 
n11 11 12 SCEL driver=0 
n11 12 13 TMPRSS13 driver=0 
n11 13 14 UGT8 driver=0 
n11 14 15 unknown driver=0 
n11 15 16 unknown driver=0 
n11 16 17 unknown driver=0 
n11 17 18 unknown driver=0 
n11 18 19 unknown driver=0 
n11 19 20 unknown driver=0 
n11 20 21 unknown driver=0 
n11 21 22 unknown driver=0 
n11 22 23 unknown driver=0 
n11 23 24 unknown driver=0 
n11 24 25 unknown driver=0 
n11 25 26 unknown driver=0 
n11 26 27 unknown driver=0 
n11 27 28 unknown driver=0 
n11 28 29 unknown driver=0 
n11 29 30 unknown driver=0 
n11 30 31 unknown driver=0 
n11 31 32 unknown driver=0 
n11 32 33 unknown driver=0 
n11 33 34 unknown driver=0 
n11 34 35 unknown driver=0 
